,How much,What,When,Where
10,"(Entrance fee: 350,00 dkk - 450,00 dkk)",Kygo.,"Sun 11 February 2018, 8 pm.","Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S"
11,(Entrance fee: 180 DKK),Ghostpoet.,"Sun 11 February 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
12,,The Hunna + Coasts.,"Sun 11 February 2018, 8 pm.","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
13,,Fastelavnsjazz.,"Mon 12 February 2018, 2.30 pm  - 3.40 pm.","Store Magleby Kirke, Kirkevej 2, DragÃ¸r"
14,(Entrance fee: 270 DKK),Nils Frahm (de).,"Mon 12 February 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
15,"(Entrance fee: 135,00 DKK)",Pale Waves (UK).,"Tues 13 February 2018, 8 pm.","Ideal Bar, Enghavevej 40, Copenhagen V"
16,,Khruangbin (us).,"Tues 13 February 2018, 8 pm.","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
17,(Entrance fee: 315 - 365 DKK),Poul Krebs med band.,"Tues 13 February 2018, 8 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
18,"(Entrance fee: 230,00 DKK)",August Alsina (US).,"Tues 13 February 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
19,(Entrance fee: 25 DKK),Open mic for RBU.,"Tues 13 February 2018, 8 pm  - 10.30 pm.","Huset KBH MusikcafÃ©en, RÃ¥dhusstrÃ¦de 13, 3. sal, Copenhagen K"
0,(Free admission),Debutkoncert - Alexander McKenzie.,"Wed 14 February 2018, 7.30 pm.","Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C"
1,"(Entrance fee: 245,00 DKK)",JhenÃ© Aiko (US).,"Wed 14 February 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
2,(Entrance fee: 340 - 450 DKK),KODO - One Earth Tour 2018.,"Thur 15 February 2018, 8 pm.","Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C"
3,(Entrance fee: 470 - 545 DKK),Randy Newman - Dark Matter Tour.,"Thur 15 February 2018, 8 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
4,(Entrance fee: 80kr. i forsalg - 90kr. i dÃ¸ren),David Besiakov Group.,"Thur 15 February 2018, 8 pm  - 10 pm.","K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S"
5,(Entrance fee: 370 DKK),Burhan G.,"Thur 15 February 2018, 9 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
6,"(Entrance fee: 120,-","Dorado & Amati Schmitt Quintette ""Masters of Gypsy Jazz"".","Fri 16 February 2018, 3.30 pm.","Jazzcup, Gothersgade 107, Copenhagen K"
7,,"ALL SWING & BOSSA, Ole Schmidt, tenorsax og JÃ¸rgen Schaarup, guitar.","Fri 16 February 2018, 4 pm.","Argentinsk Vinbar Tango y Vinos, Herluf Trolles gade 9, Copenhagen K"
8,,Fredagskoncert: Orgel.,"Fri 16 February 2018, 4.30 pm  - 5.30 pm.","Trinitatis Kirke, LandemÃ¦rket 2, Copenhagen K"
9,(Entrance fee: 210-410 DKK + evt. gebyr),Cphphil Violinstjerne.,"Fri 16 February 2018, 7.30 pm.","Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C"
10,(Entrance fee: 30 DKK),CopenOpen poetry slam.,"Fri 16 February 2018, 7.30 pm  - 10 pm.","Huset KBH MusikcafÃ©en, RÃ¥dhusstrÃ¦de 13, 3. sal, Copenhagen K"
11,(Entrance fee: 275 DKK. + gebyr),Dodo & the Dodo's.,"Fri 16 February 2018, 8 pm.","Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup"
12,(Entrance fee: 200 DKK),SÃ¸s Fenger.,"Fri 16 February 2018, 8 pm.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ãstergade 28, IshÃ¸j"
13,(Entrance fee: 270 DKK),Nils Frahm (de).,"Fri 16 February 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
14,(Entrance fee: 225 DKK + gebtr / 250 DKK. i dÃ¸ren),Dansefest Med Blast.,"Fri 16 February 2018, 8 pm.","K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S"
15,"(Entrance fee: 195,00 DKK)",Corroded.,"Fri 16 February 2018, 8 pm.","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
