,How much,What,When,Where
16,(Entrance fee),Carl Emil Petersen - Solo.,"Fri 16 February 2018, 8 pm.","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
17,(Entrance fee: Forsalg: 60 - 80 DKK // I dÃ¸ren: 80 - 100 DKK),Zier Romme Larsen Kvartet // Vinterjazz 2018.,"Fri 16 February 2018, 9 pm.","Karens Minde Kulturhus, Wagnersvej 19, Copenhagen SV"
18,"(Entrance fee: 165,00 dkk - 295,00 dkk)",Dorado Schmitt All Star Quintet - gypsy/jazz.,"Fri 16 February 2018, 9 pm.","Bartof Station, Solbjergvej 3, Frederiksberg"
19,(Free admission),Guds nÃ¥de er en vintergÃ¦k.,"Fri 16 February 2018, 9 pm.","Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K"
0,,Maleek Berry (NG/UK).,"Sat 17 February 2018, kl. 00.","Rust, Guldbergsgade 8, Copenhagen N"
1,(Free admission),OrgelmatinÃ©.,"Sat 17 February 2018, 12 am.","Vor Frue Kirke - KÃ¸benhavns Domkirke, NÃ¸rregade 8, Copenhagen K"
2,"(Entrance fee: 100,-",Wallace/Wamberg/Petri Trio.,"Sat 17 February 2018, 2.30 pm.","Jazzcup, Gothersgade 107, Copenhagen K"
3,(Entrance fee: DKK. 200/stud. med gyldigt Ã¥rskort DKK. 50),Bachs genbrug / Concerto Copenhagen.,"Sat 17 February 2018, 4 pm.","Garnisonskirken, Sankt AnnÃ¦ Plads 4, Copenhagen K"
4,,Jazz: Moderne Big Bands.,"Sat 17 February 2018, 7 pm.","GXU - Gladsaxe 10. klasse og ungdomsskole (tidl. Marienlyst Skole), Gladsaxevej 198, SÃ¸borg"
5,"(Entrance fee: 430,00 dkk - 800,00 dkk)",Lady Gaga - Joanne World Tour.,"Sat 17 February 2018, 7.30 pm.","Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S"
6,(Entrance fee: 40 DKK),Det Ãbne Hus spiller op til folkedans pÃ¥ Stades Krog 9.,"Sat 17 February 2018, 8 pm.","Lyngby SognegÃ¥rd, Stades Krog 9, Kongens Lyngby"
7,(Entrance fee),Ester Brohus.,"Sat 17 February 2018, 8 pm.","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
8,"(Entrance fee: 435,00 dkk - 735,00 dkk)",TOTO - 40 Trips Around The Sun Tour.,"Sat 17 February 2018, 8 pm.","Forum Copenhagen, Julius Thomsens Plads 1, Frederiksberg C"
9,(Entrance fee: 145 DKK),Girls in Airports.,"Sat 17 February 2018, 8 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
10,"(Entrance fee: 175,00 DKK)",Electric Guitars.,"Sat 17 February 2018, 9 pm.","Templet, Jernbanevej 16, Kongens Lyngby"
11,(Entrance fee),Roben og Knud.,"Sat 17 February 2018, 9 pm.","Amager Bio, Ãresundsvej 6, Copenhagen S"
12,(Entrance fee: 100 DKK + gebyr i forslag - 125 DKK i dÃ¸ren),New Orleans Remixed - Beats and Beads feat. Rosa Lux/Sasha Masakowski/Johan Bylling Lang (US/DK).,"Sat 17 February 2018, 9 pm  - 11 pm.","K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S"
13,(Entrance fee: 90 DKK. medlemmer af Venneforening 50 DKK),1/2 12 Koncerter.,"Sun 18 February 2018, 11.30 am.","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
14,(Entrance fee: 110 DKK),Jazz Menu - ForÃ¥r 2018.,"Sun 18 February 2018, 1 pm.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ãstergade 28, IshÃ¸j"
15,(Free admission),Kastelskirkens SÃ¸ndagskoncerter.,"Sun 18 February 2018, 2 pm.","Kastelskirken, Kastellet 50, Copenhagen Ã"
16,"(Entrance fee: 115,00 DKK)",Katrine Bille med band.,"Sun 18 February 2018, 2 pm.","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
17,(Free admission),Daniel Waade.,"Sun 18 February 2018, 3 pm.","Vor Frelsers Kirke, Sankt AnnÃ¦ Gade 29, Copenhagen K"
18,(Entrance fee: 130 DKK.),Emil Gryesten: Pianist. 5. koncert i Lyngby TaarbÃ¦k Musikforening.,"Sun 18 February 2018, 4 pm.","Stadsbiblioteket i Lyngby, Lyngby Hovedgade 28, Kongens Lyngby"
19,,ForfÃ¸rende flÃ¸jtetoner.,"Sun 18 February 2018, 4 pm  - 9 pm.","Husumvold Kirke, Gadelandet 25, BrÃ¸nshÃ¸j"
0,(Entrance fee: 300 - 890 DKK),Wiener Johann Strauss Konzert-Gala.,"Mon 19 February 2018, 7.30 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
1,(Entrance fee: 245 DKK),Sinne Eeg.,"Mon 19 February 2018, 8 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
2,"(Entrance fee: 125,00 dkk - 520,00 dkk)",De 12 Tenorer.,"Tues 20 February 2018, 8 pm.","Operaen, Ekvipagemestervej 10, Copenhagen K"
3,(Entrance fee: Ikke-medlemmer 130 DKK.),"Kammermusikforeningen af 1911, Copenhagen Piano Quartet.","Wed 21 February 2018, 7.30 pm.","Garnisonskirken, Sankt AnnÃ¦ Plads 4, Copenhagen K"
4,,Studiekoncert i Jesuskirken.,"Wed 21 February 2018, 7.30 pm  - 8.30 pm.","Jesuskirken, KirkevÃ¦nget 5 A, Valby"
5,(Entrance fee: 285 DKK),Belle & Sebastian.,"Wed 21 February 2018, 8 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
6,(Entrance fee: 235 DKK + evt. gebyr),Barbara Moleko.,"Wed 21 February 2018, 8 pm.","Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup"
7,(Entrance fee: 30 DKK.),Musikalsk underholdning med Marete Ruud Hansen.,"Thur 22 February 2018, 1.30 pm.","Glostrup Bibliotek, KildevÃ¦ldets AllÃ© 5, Glostrup"
8,"(Entrance fee: 435,- inkl. Tapas)",Jens Jacob Tychsen og Henrik Krogsgaard.,"Thur 22 February 2018, 6 pm.","Restaurant Beghuset, Strandgade 14, DragÃ¸r"
9,(Free admission),Syng Sammen Aften.,"Thur 22 February 2018, 7.30 pm.","Rheumhus, Albjergparken 4, BrÃ¸ndby Strand"
10,,Copenhagen Washboard Five.,"Thur 22 February 2018, 7.30 pm.","Jonstruphus, Jonstrupvangvej 159, VÃ¦rlÃ¸se"
11,(Entrance fee: Medlemmer gratis gÃ¦ster 50 DKK.),Rejse gennem Danmark.,"Thur 22 February 2018, 7.30 pm  - 10 pm.","Telefonfabrikken - Gladsaxe Kulturhus, Telefonvej 8, SÃ¸borg"
12,"(Entrance fee: 355,00 DKK)",Phil Bates & Band perform the music of E.L.O.,"Thur 22 February 2018, 8 pm.","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
13,(Entrance fee: 195 - 320 DKK),Stine Bramsen.,"Thur 22 February 2018, 8 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
14,(Entrance fee: 345 DKK),Koppel - Sonne - Binzer.,"Thur 22 February 2018, 9 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
15,"(Entrance fee: 120,-","Morten GrÃ¸nvad ""The End"".","Fri 23 February 2018, 3.30 pm.","Jazzcup, Gothersgade 107, Copenhagen K"
16,,Fredagskoncert: Musik For To Orgler.,"Fri 23 February 2018, 4.30 pm  - 5.30 pm.","Trinitatis Kirke, LandemÃ¦rket 2, Copenhagen K"
17,(Entrance fee: 210-410 DKK + evt. gebyr),Cphphil MÃ¦gtige Bruckner.,"Fri 23 February 2018, 7.30 pm.","Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C"
18,,"Old World, New World.","Fri 23 February 2018, 7.30 pm.","Kingos Kirke, Bragesgade 35, Copenhagen N"
19,(Entrance fee: 185 DKK + evt. gebyr),ThorbjÃ¸rn Risager.,"Fri 23 February 2018, 8 pm.","Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup"
0,(Entrance fee: 120/80),Paul Harrison Band pÃ¥ 20 Ã¥rs jubilÃ¦umsturnÃ©.,"Fri 23 February 2018, 8 pm.","Baghuset, Sct. Jacobsvej 1, Ballerup"
1,"(Entrance fee: 300,00 DKK)",Tyga.,"Fri 23 February 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
2,(Entrance fee: 100/140),Route 66 - 60'er musik - Roosters.,"Fri 23 February 2018, 8.30 pm  - kl. 00.30.","EllegÃ¥rden, Stavnsholtvej 168, Farum"
3,(Entrance fee: 170 DKK),Hayseed Dixie.,"Fri 23 February 2018, 9 pm.","Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K"
4,(Entrance fee: 100kr. + gebyr i forsalg - 120kr. i dÃ¸ren),Banana Republiq feat. Chris Clermont (US).,"Fri 23 February 2018, 9 pm  - 11 pm.","K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S"
5,(Entrance fee: 180 DKK),Mgp 18 Galla - KÃ¸benhavn.,"Sat 24 February 2018, 11 am  & 3 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
6,(Free admission),OrgelmatinÃ©.,"Sat 24 February 2018, 12 am.","Vor Frue Kirke - KÃ¸benhavns Domkirke, NÃ¸rregade 8, Copenhagen K"
7,,Jonathan Siahaan.,"Sat 24 February 2018, 12.30 am  - 1.30 pm.","Flintholm Kirke, Junggreensvej 14, Frederiksberg"
8,"(Entrance fee: 100,-","""Pepper Spray"".","Sat 24 February 2018, 2.30 pm.","Jazzcup, Gothersgade 107, Copenhagen K"
9,(Free admission),Koncertserien 24 - koncerter med unge talenter.,"Sat 24 February 2018, 4 pm.","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
10,,Koncert: Beethoven#2.,"Sat 24 February 2018, 7 pm  - 10 pm.","Husum Kirke, Korsager AllÃ© 14, BrÃ¸nshÃ¸j"
11,(Entrance fee: 225 DKK),Ester Brohus.,"Sat 24 February 2018, 8 pm.","StÃ¸berihallen, Titangade 16 A, Copenhagen N"
12,(Entrance fee: 225 DKK + gebtr / 250 DKK. i dÃ¸ren),Sko / torp.,"Sat 24 February 2018, 8 pm.","K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S"
13,(Entrance fee: 70 DKK. inkl. gebyr),Roxy Jules + Wild Forest.,"Sat 24 February 2018, 8.30 pm.","Kulturstationen VanlÃ¸se, Frode Jakobsens Plads 4 / Jernbane AllÃ© 38, VanlÃ¸se"
14,(Entrance fee: 170 DKK),Heimatt.,"Sat 24 February 2018, 9 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
15,(Entrance fee: 135 DKK),Here Lies Man (US).,"Sat 24 February 2018, 9 pm.","Global Copenhagen, NÃ¸rre AllÃ© 7, Copenhagen N"
16,(Entrance fee: 55 DKK),Ãh Abe - BÃ¸rne Jazzkoncert.,"Sun 25 February 2018, 1 pm.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ãstergade 28, IshÃ¸j"
17,(Free admission),Kastelskirkens SÃ¸ndagskoncerter.,"Sun 25 February 2018, 2 pm.","Kastelskirken, Kastellet 50, Copenhagen Ã"
18,(Free admission),Koncert i SolgÃ¥rdens CafÃ©.,"Sun 25 February 2018, 2.30 pm.","SolgÃ¥rden plejehjem, Virumvej 125, Virum"
19,(Free admission),PrÃ¦dikerens Bog og Skibsforlis for stemme og orgel.,"Sun 25 February 2018, 3 pm.","Vor Frelsers Kirke, Sankt AnnÃ¦ Gade 29, Copenhagen K"
0,,"""Cohen i kirken"".","Sun 25 February 2018, 4 pm  - 5 pm.","HÃ¸jdevangskirken, Irlandsvej 45, Copenhagen S"
1,,PalÃ¦ Bar Jazz.,"Sun 25 February 2018, 5 pm  - 8 pm.","PalÃ¦ Bar, Ny Adelgade 5, Copenhagen K"
2,(Entrance fee: 120kr. + gebyr i forsalg - 140kr. i dÃ¸ren),Halfdanskerne.,"Sun 25 February 2018, 7.30 pm  - 9.30 pm.","K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S"
3,"(Entrance fee: 480,00 dkk - 650,00 dkk)",The Killers.,"Sun 25 February 2018, 8 pm.","Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S"
4,"(Entrance fee: 135,00 DKK)",Superorganism (UK/US).,"Sun 25 February 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
5,(Free admission),Mestre pÃ¥ Mandage - Gert Mortensens 60-Ã¥rs fÃ¸dselsdagskoncert.,"Mon 26 February 2018, 7.30 pm.","Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C"
6,"(Entrance fee: 325,00 DKK)",Rag'n'Bone Man: Grande Reserve Tour.,"Mon 26 February 2018, 8 pm.","Forum Copenhagen, Julius Thomsens Plads 1, Frederiksberg C"
7,(Entrance fee: 370 - 891 DKK),PartyNextDoor - Infinity Tour.,"Mon 26 February 2018, 9 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
8,(Free admission),FolkemusikfÃ¦llesskaber og -institutioner i 1970'erne og 2010'erne v. Lene Halskov Hansen.,"Tues 27 February 2018, 7.30 pm.","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
9,(Entrance fee: 275 - 1545 DKK),Russ - There's Really A Wolf In Europe Tour.,"Tues 27 February 2018, 9 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
10,(Entrance fee: 55 DKK),Lhuma (50/50 koncert).,"Wed 28 February 2018, 7.30 pm.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ãstergade 28, IshÃ¸j"
11,(Free admission),Debutkoncert - James Black.,"Wed 28 February 2018, 7.30 pm.","Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C"
12,(Entrance fee: 160 DKK),Carl Emil solo.,"Wed 28 February 2018, 8 pm.","Klauzdal, Klausdalsbrovej 336, Herlev"
13,(Entrance fee: 150kr/ 120 DKK mdl. ved dÃ¸ren),Sankt Petersborg Musikaften.,"Wed 28 February 2018, 8.00 pm  - 10.00 pm.","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
14,(Free admission),Charlie Parr (us).,"Wed 28 February 2018, 9.30 pm.","Mojo Blues bar, LÃ¸ngangsstrÃ¦de 21 C, Copenhagen K"
15,(Free admission),Koncert med BersÃ¦rk.,"Thur 1 March 2018, 7 pm.","KU.BE, Dirch Passers AllÃ© 4, Frederiksberg"
16,,"ALL SWING & BOSSA, Ole Schmidt, tenorsax og JÃ¸rgen Schaarup, guitar.","Thur 1 March 2018, 7 pm  - 9 pm.","Argentinsk Vinbar Tango y Vinos, Herluf Trolles gade 9, Copenhagen K"
17,(Entrance fee: 85 - 497 DKK),Luisi & Beethovens 5.,"Thur 1 March 2018, 7.30 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
18,"(Entrance fee: 375,00 DKK)",Kim Larsen & Kjukken (DK) - Ekstra koncert - UDSOLGT.,"Thur 1 March 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
19,"(Entrance fee: 425,00 dkk - 755,00 dkk)",Kendrick Lamar - The Damn. Tour - Udsolgt/venteliste.,"Thur 1 March 2018, 8 pm.","Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S"
0,(Entrance fee: 99 DKK),"Profanatica, Auroch, Rites Of Thy Degringolade @ Loppen.","Thur 1 March 2018, 8.30 pm.","Loppen, Christiania, BÃ¥dsmandsstrÃ¦de 43, Copenhagen K"
1,,Chimbos Revival.,"Thur 1 March 2018, 9 pm.","Drop Inn, KompagnistrÃ¦de 34, Copenhagen K"
2,"(Entrance fee: 495,00 dkk - 1500,00 dkk)",Jethro Tull by Ian Andersen.,"Fri 2 March 2018, 7 pm.","Docken KÃ¸benhavn, Nordhavnen, FÃ¦rgehavnsvej 35, Nordhavn"
3,"(Entrance fee: 820,00 DKK)",Sko/torp.,"Fri 2 March 2018, 7 pm.","Skovshoved Hotel, Strandvejen 267, Charlottenlund"
4,"(Entrance fee: Kr. 60,-)",Jazz Band Ball med South Coast Stompers.,"Fri 2 March 2018, 7 pm.","Foreningshuset, HÃ¸jnÃ¦svej 63, RÃ¸dovre"
5,(Entrance fee: 85 - 497 DKK),Luisi & Beethovens 5.,"Fri 2 March 2018, 7.30 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
6,(Entrance fee: 285 KR. + Gebyr),Pink Floyd Project - 50 Years of Floyd.,"Fri 2 March 2018, 8 pm.","Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup"
7,(Entrance fee: 375 DKK),Thomas Helmig + Support.,"Fri 2 March 2018, 8 pm.","Ballerup Super Arena, Ballerup IdrÃ¦tsby 4, Ballerup"
8,"(Entrance fee: 140,00 DKK)",Sonja Hald.,"Fri 2 March 2018, 8 pm.","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
9,"(Entrance fee: 300,00 dkk - 500,00 dkk)",Lis SÃ¸rensen.,"Fri 2 March 2018, 8 pm.","Det Kongelige Teater - Gamle Scene, Kongens Nytorv, Copenhagen K"
10,(Entrance fee: 175 DKK),Rasmus Lyberth.,"Fri 2 March 2018, 8 pm.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ãstergade 28, IshÃ¸j"
11,"(Entrance fee: 375,00 DKK)",Kim Larsen & Kjukken (dk) - Udsolgt.,"Fri 2 March 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
12,"(Entrance fee: 165,00 DKK)",Binkbeats (NL).,"Fri 2 March 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
13,"(Entrance fee: 250,00 DKK)",Cindy Wilson (US).,"Fri 2 March 2018, 8 pm.","Hotel Cecil, Niels Hemmingsens Gade 10, Copenhagen K"
14,"(Entrance fee: Entre billet 125 DKK, Entre + Jazzmenu 275 DKK)",Six City Stompers Med Mads Mathias.,"Fri 2 March 2018, 9 pm.","EllegÃ¥rden, Stavnsholtvej 168, Farum"
15,"(Entrance fee: 100 for voksne, gratis for bÃ¸rn under 18 Ã¥r)",Lisztige Rapsodier.,"Sat 3 March 2018, 4 pm.","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
16,"(Entrance fee: 145,00 DKK)",Monk Parker (US).,"Sat 3 March 2018, 8 pm.","Ideal Bar, Enghavevej 40, Copenhagen V"
17,(Entrance fee: 195 - 245 DKK),Kellermensch.,"Sat 3 March 2018, 8 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
18,(Entrance fee: 80 DKK.),Piano Battle 2018.,"Sat 3 March 2018, 8 pm.","Baghuset, Sct. Jacobsvej 1, Ballerup"
19,"(Entrance fee: 350,00 dkk - 720,00 dkk)",The script.,"Sat 3 March 2018, 8 pm.","TAP1, Raffinaderivej 10, Copenhagen S"
0,(Entrance fee: 50 DKK),JazzaBrasil.,"Sat 25 November 2017, 3 pm.","Christianshavns Beboerhus, Dronningensgade 34, Copenhagen K"
1,,"Koncert med John Kruse, Kim Bak Dinitzen og Elisabeth Westenholz.","Sat 25 November 2017, 3 pm  - 4 pm.","Christians Kirke, Strandgade 1, Copenhagen K"
2,,VelgÃ¸renhedskoncert ved Tommy Wedel/Knud Rasmussen.,"Sat 25 November 2017, 3 pm  - 8 pm.","Sorgenfri Kirke og SognegÃ¥rd, Hummeltoften 1, Virum"
3,(Entrance fee: LÃ¸ssalg: 290 DKK),Julekoncert med SÃ¸s Fenger.,"Sat 25 November 2017, 4 pm.","Operaen, Ekvipagemestervej 10, Copenhagen K"
4,,Musik for alle - spillet af bÃ¸rn.,"Sat 25 November 2017, 4 pm  - 5 pm.","Hendriksholm Kirke, Damhus Boulevard 70, RÃ¸dovre"
5,(Free admission),Koncert og foredrag.,"Sat 25 November 2017, 4.00 pm.","Filips Kirke, Kastrupvej 57, Copenhagen S"
6,(Entrance fee: EntrÃ© og spisning 325 DKK),Single Rocks store Julefest med band.,"Sat 25 November 2017, 6 pm.","CafÃ© Ae, Frederikssundsvej 7, Copenhagen NV"
7,(Entrance fee: 99 i forsalg / 120 i dÃ¸ren),KettleMetal.,"Sat 25 November 2017, 6 pm  - 3 am.","MusikhÃ¸jskolen, Smallegade 12, Frederiksberg"
8,(Entrance fee: Billetter 150 DKK),Kreshme Ensemble.,"Sat 25 November 2017, 7 pm.","Kulturhuset BrÃ¸nden, BrÃ¸ndby Strand Centrum 60, BrÃ¸ndby Strand"
9,(Entrance fee: 150),Syngesalon med saxofonist Hans Ulrik.,"Sat 25 November 2017, 7 pm.","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
10,,Adventskoncert med Gospel Unusual.,"Sat 25 November 2017, 7 pm  - 8.30 pm.","BellahÃ¸j og Utterslev kirker, Kirkekontor: Frederikssundsvej 125 A, BrÃ¸nshÃ¸j"
11,(Entrance fee: 320 DKK),Savage Rose.,"Sat 25 November 2017, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
12,(Entrance fee: 450 DKK),The War On Drugs (us).,"Sat 25 November 2017, 8 pm.","TAP1, Raffinaderivej 10, Copenhagen S"
13,,The Minds Of 99.,"Sat 25 November 2017, 8 pm.","Den GrÃ¥ Hal, Christiania, Refshalevej 2, Copenhagen K"
14,(Free admission),Vinbar med tapas og live musik.,"Sat 25 November 2017, 8 pm.","Cafe Delight ApS, Borups Alle 112, Frederiksberg"
15,(Entrance fee: Billetter 100 DKK),Frede Fup.,"Sat 25 November 2017, 8 pm.","Kulturhuset Kilden, NygÃ¥rds Plads 31, BrÃ¸ndby"
16,"(Entrance fee: 30,-)","Sangbar Ã,Ã&Ã - November.","Sat 25 November 2017, 8 pm.","Christianshavns Beboerhus, Dronningensgade 34, Copenhagen K"
17,(Entrance fee: 150 DKK + evt. gebyr),Mozzik.,"Sat 25 November 2017, 8 pm.","Baltoppen Live, Baltorpvej 20, Ballerup"
18,(Entrance fee: 285 DKK + evt. gebyr),Pernille BÃ©vort: Radio BÃ©vort.,"Sat 25 November 2017, 8 pm.","Jazzhus Montmartre, Store Regnegade 19A, Copenhagen K"
19,"(Entrance fee: 295,00 DKK)",Scandinavian Pink Floyd Project - FÃ¥ billetter!,"Sat 25 November 2017, 8 pm.","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
0,"(Entrance fee: 350,00 DKK)",Steven Wilson (uk) - FÃ¥ Billetter.,"Sat 3 March 2018, 8 pm.","VEGA, Enghavevej 40, Copenhagen V"
1,"(Entrance fee: 295,00 DKK)",Pink Floyd Project - Wish You Were Here Tour.,"Sat 3 March 2018, 9 pm.","Den GrÃ¥ Hal, Christiania, Refshalevej 2, Copenhagen K"
2,"(Entrance fee: 165,00 DKK)",Baby In Vain (DK).,"Sat 3 March 2018, 9 pm.","VEGA, Enghavevej 40, Copenhagen V"
3,(Entrance fee),Kajsa Vala - MusikcafÃ©en.,"Sat 3 March 2018, 9 pm.","Huset KBH MusikcafÃ©en, RÃ¥dhusstrÃ¦de 13, 3. sal, Copenhagen K"
4,(Entrance fee: 165 DKK),Sebastian Klein.,"Sun 4 March 2018, 11 am.","Galaksen, Bymidten 48, VÃ¦rlÃ¸se"
5,,Jacob Fischers Kvartet.,"Sun 4 March 2018, 12 am.","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
6,(Entrance fee: 200 DKK),"Arild Kvartetten spiller Beethoven, LvB#2.","Sun 4 March 2018, 12 am.","Det Kongelige Teater - Gamle Scene, Kongens Nytorv, Copenhagen K"
7,(Entrance fee: 50 DKK.),SÃ¸ndagsbal med RÃ¸dovre Palmehaveorkester.,"Sun 4 March 2018, 2 pm  - 5 pm.","RÃ¸dovregaard, Kirkesvinget 1, RÃ¸dovre"
8,"(Entrance fee: 100,-/70,-)",Cool Sweetness Sextet.,"Sun 4 March 2018, 3 pm.","SofiekÃ¦lderen, Overgaden Oven Vandet 32, Copenhagen K"
9,,Koncert med Studentersangerne.,"Sun 4 March 2018, 3 pm  - 4 pm.","Hans Egedes Kirke, Vardegade 14, Copenhagen Ã"
10,"(Entrance fee: 50,00 DKK i DÃ¸ren)",Unge spiller klassisk - intim koncert.,"Sun 4 March 2018, 3 pm  - 4 pm.","Metronomen, GodthÃ¥bsvej 33, Frederiksberg"
11,,Koncert med OBG-Brass.,"Sun 4 March 2018, 3 pm  - 4.30 pm.","Christianskirken, Christian X's AllÃ© 122, Kongens Lyngby"
12,,Koncert med Lee Trio (NÃ¸debo Kultur).,"Mon 5 March 2018, 7.30 pm  - 11.45 pm.","Sorgenfri Kirke og SognegÃ¥rd, Hummeltoften 1, Virum"
13,"(Entrance fee: 420,00 dkk - 520,00 dkk)",The Steve Rothery Band.,"Mon 5 March 2018, 8 pm.","Teatermuseet i Hofteatret, Christiansborg Ridebane 18, Copenhagen K"
14,(Free admission),Kulturaften med MusikhÃ¸jskolen.,"Tues 6 March 2018, 5 pm  - 7 pm.","Frederiksberg Hovedbibliotek, Falkoner Plads 3, Frederiksberg"
15,(Entrance fee: 140 DKK + evt. gebyr),Gnoss.,"Tues 6 March 2018, 7.30 pm.","Baltoppen Live, Baltorpvej 20, Ballerup"
16,(Entrance fee: 90 - 150 DKK),Moderne dansk aften.,"Tues 6 March 2018, 7.30 pm.","Unitarernes Hus, Dag HammarskjÃ¶lds AllÃ© 30, Copenhagen Ã"
17,(Free admission),Orgelkoncert: Martin Norddahl.,"Tues 6 March 2018, 7.30 pm.","Sct. Thomas kirke, Rolighedsvej 16, Frederiksberg C"
18,(Entrance fee),All Tvvins (IE).,"Tues 6 March 2018, 8 pm.","Ideal Bar, Enghavevej 40, Copenhagen V"
19,(Free admission),Jam-session pÃ¥ Lipperts.,"Wed 7 March 2018, 6 pm.","Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup"
0,(Entrance fee: 55 DKK),Bo Evers (50/50 koncert).,"Wed 7 March 2018, 7.30 pm.","IshÃ¸j Kultur CafÃ©, IshÃ¸j Ãstergade 28, IshÃ¸j"
1,(Entrance fee: 320 - 670 DKK),Joan Baez - Fare Thee Well.,"Wed 7 March 2018, 8 pm.","Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C"
2,"(Entrance fee: 175,00 DKK)",Ankerstjerne (DK).,"Wed 7 March 2018, 9 pm.","VEGA, Enghavevej 40, Copenhagen V"
3,"(Entrance fee: Kr 418,- inklusiv)","Anne dorte michelsen - solo ""jeg vil huske"".","Thur 8 March 2018, 6 pm.","Restaurant Beghuset, Strandgade 14, DragÃ¸r"
4,(Entrance fee: Medlemmer gratis gÃ¦ster 50 DKK.),Svend Emmes egne viser og en aften om kÃ¦rlighed.,"Thur 8 March 2018, 7.30 pm  - 10 pm.","Telefonfabrikken - Gladsaxe Kulturhus, Telefonvej 8, SÃ¸borg"
5,,King Gizzard & The Lizard Wizard (aus).,"Thur 8 March 2018, 9 pm.","Pumpehuset, StudiestrÃ¦de 52, Copenhagen V"
6,"(Entrance fee: 140,00 DKK)",The Attic Sleepers.,"Thur 8 March 2018, 9 pm.","Huset - KBH, RÃ¥dhusstrÃ¦de 13, Copenhagen K"
7,"(Entrance fee: 450,00 dkk - 480,00 dkk)",Erasure.,"Fri 9 March 2018, 8 pm.","Royal Arena, Hannemanns AllÃ© 18-20, Copenhagen S"
8,(Entrance fee),Alberte Winding Band.,"Fri 9 March 2018, 8 pm.","Kulturhuset Viften, RÃ¸dovre Parkvej 130, RÃ¸dovre"
